trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.1, 'e': 0.5549999999999996}",20,0,-47.27474634502125,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
90,False,"{'a': 0.1, 'e': 0.5499999999999996}",20,0,8.925825769990293,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.1, 'e': 0.5449999999999996}",25,0,-35.918594020109815,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
92,False,"{'a': 0.1, 'e': 0.5399999999999996}",25,0,-75.44529492218265,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
93,False,"{'a': 0.1, 'e': 0.5349999999999996}",20,0,-80.7129760574705,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.1, 'e': 0.5299999999999996}",25,0,-58.46589512852298,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
95,False,"{'a': 0.1, 'e': 0.5249999999999996}",25,6,-23.774335966890362,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.1, 'e': 0.5199999999999996}",20,6,-29.89455224741768,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.1, 'e': 0.5149999999999996}",30,10,-8.889698115678339,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.5099999999999996}",25,0,-53.599673708769004,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
99,False,"{'a': 0.1, 'e': 0.5049999999999996}",30,0,-117.20415768331931,"{0: 22, 1: 4, 2: 1, 3: 0, 4: 3}",0
100,False,"{'a': 0.1, 'e': 0.49999999999999956}",25,13,14.974431094419922,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.1, 'e': 0.49499999999999955}",25,9,-28.47543456473882,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 0}",1
102,False,"{'a': 0.1, 'e': 0.48999999999999955}",20,0,-59.301451509939135,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
103,False,"{'a': 0.1, 'e': 0.48499999999999954}",25,11,-12.826113398295561,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.1, 'e': 0.47999999999999954}",25,0,-71.20596789325252,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
105,False,"{'a': 0.1, 'e': 0.47499999999999953}",25,6,-1.7412096071372052,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.46999999999999953}",20,4,2.7024009182758184,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.1, 'e': 0.4649999999999995}",25,0,-108.49016012907927,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
108,False,"{'a': 0.1, 'e': 0.4599999999999995}",25,14,5.675804367657965,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.4549999999999995}",20,13,12.551120325862033,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1, 'e': 0.4499999999999995}",25,4,-2.910728864793591,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.1, 'e': 0.4449999999999995}",30,4,-11.532935432749488,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.1, 'e': 0.4399999999999995}",30,1,-95.95745809294421,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 2}",1
113,False,"{'a': 0.1, 'e': 0.4349999999999995}",30,0,-64.35039597566929,"{0: 24, 1: 2, 2: 1, 3: 2, 4: 1}",0
114,False,"{'a': 0.1, 'e': 0.4299999999999995}",20,0,-24.387794260344254,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
115,False,"{'a': 0.1, 'e': 0.4249999999999995}",20,14,-18.374239496451104,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.4199999999999995}",30,0,-129.80307918022388,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
117,False,"{'a': 0.1, 'e': 0.4149999999999995}",20,3,4.913923268333947,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.4099999999999995}",25,1,25.501668546400666,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.1, 'e': 0.40499999999999947}",20,7,23.88324869600341,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1, 'e': 0.39999999999999947}",20,12,-69.15713736692837,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
121,False,"{'a': 0.1, 'e': 0.39499999999999946}",30,7,-36.814483603413656,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.1, 'e': 0.38999999999999946}",20,0,7.198381470143891,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.1, 'e': 0.38499999999999945}",20,0,-24.169751043530646,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.1, 'e': 0.37999999999999945}",30,9,2.73831233174979,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.1, 'e': 0.37499999999999944}",25,10,-51.95590460503832,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
126,False,"{'a': 0.1, 'e': 0.36999999999999944}",20,6,27.234779926215953,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.1, 'e': 0.36499999999999944}",30,21,15.018355856062419,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.35999999999999943}",35,18,-17.31965265299429,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
129,False,"{'a': 0.1, 'e': 0.3549999999999994}",20,2,-2.9869292672961194,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.3499999999999994}",20,8,9.048331517866195,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.1, 'e': 0.3449999999999994}",20,9,5.686002683624652,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.3399999999999994}",20,3,-26.93486519934975,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
133,False,"{'a': 0.1, 'e': 0.3349999999999994}",20,13,-12.333186305844057,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.3299999999999994}",20,13,12.628413627753769,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.1, 'e': 0.3249999999999994}",30,18,-18.918319834355998,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.1, 'e': 0.3199999999999994}",20,13,-1.6829071700825786,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.1, 'e': 0.3149999999999994}",20,2,3.4076924378889624,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.3099999999999994}",25,13,-45.33903020031504,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
139,False,"{'a': 0.1, 'e': 0.3049999999999994}",25,11,-0.07056482008807463,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.2999999999999994}",20,16,7.758371398267428,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.2949999999999994}",20,0,32.25520913272412,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
